store_id,store_name,address,city,state,pincode,store_manager_name,store_opening_date,store_closing_date,reviews
233,Value Bazaar,"572, Main Road",Delhi,DL,926636,Priya Menon,2019-10-20,,Average
234,Fresh Hub,"67, Main Road",Mumbai,MH,625022,Anita Sharma,2021-03-21,,Needs Improvement
235,Smart Shop,"149, Main Road",Pune,MH,630812,Sunita Das,2016-07-21,,Excellent
236,Central Store,"407, Main Road",Chennai,TN,526747,Ramesh Kumar,2017-09-27,2023-01-01,
237,Urban Mart,"917, Main Road",Kochi,KL,211410,Priya Menon,2015-10-21,2023-12-25,Average
238,Central Store,"555, Main Road",Delhi,DL,517510,,2019-02-18,2018-12-05,
239,Daily Needs,"440, Main Road",Trivandrum,KL,511628,Anita Sharma,2024-07-09,2027-06-23,
240,,"894, Main Road",Chennai,TN,998989,Priya Menon,2017-02-17,2023-10-16,
201,Central Store,"690, Main Road",Mumbai,MH,476681,Rahul Verma,2019-08-08,2021-12-19,Excellent
202,Mega Store,"872, Main Road",Chennai,TN,849725,Rahul Verma,2018-11-24,2021-06-07,Good
203,Daily Needs,"981, Main Road",Hyderabad,TS,907192,Ramesh Kumar,2023-08-19,2023-03-12,Good
204,Central Store,"62, Main Road",Kochi,KL,677992,Priya Menon,2018-09-22,2023-10-14,
205,Central Store,"476, Main Road",Bangalore,KA,975018,Suresh Nair,2022-03-26,2026-11-18,
206,Value Bazaar,"783, Main Road",Kochi,KL,856521,Priya Menon,2019-05-10,2024-02-11,Excellent
207,Central Store,"263, Main Road",Mumbai,MH,369068,Sunita Das,2019-02-26,,Needs Improvement
208,Smart Shop,"46, Main Road",Mumbai,MH,123,Ramesh Kumar,2022-05-10,2023-10-17,Good
209,Daily Needs,"16, Main Road",Hyderabad,TS,441056,Sunita Das,2017-05-09,2023-07-20,
210,Central Store,"797, Main Road",Kochi,KL,ABCDE,Rahul Verma,2016-08-27,2022-09-29,Needs Improvement
211,Smart Shop,"307, Main Road",Mumbai,MH,123,Ramesh Kumar,2022-10-13,2026-07-09,Good
212,Daily Needs,"72, Main Road",Trivandrum,KL,314678,Ramesh Kumar,2021-10-23,2025-10-13,Good
213,Mega Store,"639, Main Road",Pune,MH,738421,,2020-04-14,2024-01-04,Needs Improvement
214,Urban Mart,"949, Main Road",Kochi,KL,755337,Sunita Das,2022-09-01,2027-07-02,Excellent
215,Central Store,"604, Main Road",Pune,MH,366837,Priya Menon,2021-04-28,2023-11-21,Needs Improvement
216,Value Bazaar,"439, Main Road",Delhi,DL,937233,Rahul Verma,2023-02-15,2026-12-31,Average
,Daily Needs,"642, Main Road",Hyderabad,TS,659730,Suresh Nair,2026-01-23,2033-04-11,Good
218,Value Bazaar,"257, Main Road",Kochi,KL,886627,Rahul Verma,2023-05-17,2026-05-01,Good
219,City Mart,"407, Main Road",Mumbai,MH,897874,Ramesh Kumar,2024-05-25,2026-03-02,Excellent
220,Value Bazaar,"748, Main Road",Mumbai,MH,648907,Priya Menon,2016-11-04,2022-04-07,Average
